pl_name,sy_snum,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,pl_rade
11 Com b,2,1,323.21,0.06,-0.05,0,1.178,0.0,0.0,0,4914.898486,39.09289406,-39.72855088,0.0,15.464,0.123,-0.125,0.0,0.238,0.007,-0.007,0.0,G8 III,4874.0,,,0,13.76,2.85,-2.45,0,2.09,0.64,-0.63,0,-0.26,0.1,-0.1,0.0,[Fe/H],2.45,0.08,-0.08,0.0,4.72307,0.023,-0.023,2.282,0.346,-0.346,4.44038,0.0038479,-0.0038479,12.2
11 UMi b,1,1,516.22,3.25,-3.25,0,1.54,0.07,-0.07,0,3337.07,785.01,-785.01,0.0,10.5,2.47,-2.47,0.0,0.08,0.03,-0.03,0.0,K4 III,4340.0,70.0,-70.0,0,24.08,1.84,-1.84,0,1.8,0.25,-0.25,0,0.04,0.04,-0.04,0.0,[Fe/H],1.6,0.15,-0.15,0.0,5.013,0.005,-0.005,1.939,0.27,-0.27,4.56216,0.0039035,-0.0039035,12.3
14 And b,1,1,186.76,0.11,-0.12,0,0.775,0.0,0.0,0,1131.151301,36.2324384,-38.77506565,0.0,3.559,0.114,-0.122,0.0,0.0,,,0.0,K0 III,4888.0,,,0,11.55,1.12,-0.51,0,1.78,0.43,-0.29,0,-0.21,0.1,-0.1,0.0,[Fe/H],2.55,0.06,-0.07,0.0,5.23133,0.023,-0.023,2.331,0.24,-0.24,4.91781,0.0028262,-0.0028262,13.1
17 Sco b,1,1,578.38,2.01,-2.09,0,1.45,0.02,-0.02,0,1373.018718,47.67426105,-38.13940884,0.0,4.32,0.15,-0.12,0.0,0.06,0.03,-0.02,0.0,K3 III,4157.0,11.0,-10.0,0,25.92,0.78,-0.74,0,1.22,0.13,-0.14,0,-0.01,0.1,-0.1,0.0,[Fe/H],1.7,0.04,-0.06,0.0,5.22606,0.023,-0.023,2.094,0.244,-0.244,4.75429,0.005055,-0.005055,12.9
18 Del b,2,1,993.3,3.2,-3.2,0,2.6,,,0,3273.5,,,0.0,10.3,,,0.0,0.08,0.01,-0.01,0.0,G6 III,4979.0,18.0,-18.0,0,8.5,,,0,2.3,,,0,-0.052,0.023,-0.023,0.0,[Fe/H],2.818,0.06,-0.06,0.0,5.51048,0.023,-0.023,3.366,0.204,-0.204,5.27476,0.0026539,-0.0026539,12.5
24 Boo b,1,1,30.33,0.0,-0.01,0,0.194,0.0,0.0,0,280.6424834,11.44182265,-13.6666215,0.0,0.883,0.036,-0.043,0.0,0.032,0.039,-0.023,0.0,G3 IV,4816.0,,,0,12.19,1.45,-1.28,0,1.05,0.27,-0.18,0,-0.78,0.1,-0.1,0.0,[Fe/H],2.28,0.09,-0.07,0.0,5.59,0.001,-0.001,3.159,0.28,-0.28,5.3339,0.0019998,-0.0019998,13.9
4 UMa b,1,1,269.3,1.96,-1.96,0,0.87,0.04,-0.04,0,2256.5,508.5,-508.5,0.0,7.1,1.6,-1.6,0.0,0.432,0.024,-0.024,0.0,K1 III,4415.0,70.0,-70.0,0,18.11,1.47,-1.47,0,1.234,0.15,-0.15,0,-0.25,0.04,-0.04,0.0,[Fe/H],1.8,0.15,-0.15,0.0,4.5801,0.023,-0.023,1.734,0.218,-0.218,4.23773,0.0047288,-0.0047288,12.6
55 Cnc B b,2,7,6.7994,0.0013,-0.0014,0,0.044,0.0012,-0.0012,0,3.5,0.8,-0.8,0.0,0.01101223,0.00251708,-0.00251708,0.0,0.0,,,0.0,M4.5 V,3286.0,31.0,-31.0,0,0.274,0.066,-0.066,0,0.26,0.02,-0.02,0,0.16,0.1,-0.1,0.0,[M/H],4.86,0.05,-0.05,0.0,13.152,0.09,-0.09,7.666,0.023,-0.023,11.6798,0.000884,-0.000884,1.69
55 Cnc B c,2,7,33.747,0.035,-0.035,0,0.13,0.003,-0.003,0,5.3,1.4,-1.4,0.0,0.01667566,0.00440489,-0.00440489,0.0,0.0,,,0.0,M4.5 V,3286.0,31.0,-31.0,0,0.274,0.066,-0.066,0,0.26,0.02,-0.02,0,0.16,0.1,-0.1,0.0,[M/H],4.86,0.05,-0.05,0.0,13.152,0.09,-0.09,7.666,0.023,-0.023,11.6798,0.000884,-0.000884,2.16
55 Cnc b,2,7,14.651552,3.6e-05,-3.6e-05,0,0.118,0.002,-0.002,0,276.0,9.0,-9.0,0.0,0.86839311,0.02831717,-0.02831717,0.0,0.0029,0.0027,-0.002,0.0,G8 V,5198.0,31.0,-31.0,0,0.98,0.016,-0.016,0,1.015,0.051,-0.051,0,0.39,0.1,-0.1,0.0,[M/H],4.3,0.05,-0.05,0.0,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,13.9
55 Cnc c,2,7,44.3936,0.0024,-0.0024,0,0.247,0.004,-0.004,0,56.6,2.2,-2.2,0.0,0.17808352,0.00692197,-0.00692197,0.0,0.088,0.23,-0.23,0.0,G8 V,5198.0,31.0,-31.0,0,0.98,0.016,-0.016,0,1.015,0.051,-0.051,0,0.39,0.1,-0.1,0.0,[M/H],4.3,0.05,-0.05,0.0,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,8.51
55 Cnc d,2,7,4799.0,4.9,-15.0,0,5.6,0.1,-0.1,0,1214.104515,41.31769291,-41.31769291,0.0,3.82,0.13,-0.13,0.0,0.0913,0.0067,-0.0067,0.0,G8 V,5198.0,31.0,-31.0,0,0.98,0.016,-0.016,0,1.015,0.051,-0.051,0,0.39,0.1,-0.1,0.0,[M/H],4.3,0.05,-0.05,0.0,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,13.0
55 Cnc e,2,7,0.736546,1e-06,-1e-06,0,0.016,0.0003,-0.0003,0,9.35,0.44,-0.44,0.0,0.02941839,0.00138439,-0.00138439,0.0,0.01,0.02,-0.01,0.0,G8 V,5198.0,31.0,-31.0,0,0.98,0.016,-0.016,0,1.015,0.051,-0.051,0,0.39,0.1,-0.1,0.0,[M/H],4.3,0.05,-0.05,0.0,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,1.875
55 Cnc f,2,7,260.58,0.15,-0.15,0,0.802,0.014,-0.014,0,48.5,2.8,-2.8,0.0,0.15259807,0.00880979,-0.00880979,0.0,0.063,0.048,-0.043,0.0,G8 V,5198.0,31.0,-31.0,0,0.98,0.016,-0.016,0,1.015,0.051,-0.051,0,0.39,0.1,-0.1,0.0,[M/H],4.3,0.05,-0.05,0.0,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,7.59
6 Lyn b,1,1,919.86,1.92,-3.71,0,2.028,0.003,-0.005,0,597.8352336,12.07747947,-28.28672822,0.0,1.881,0.038,-0.089,0.0,0.042,0.024,-0.032,0.0,K0 IV,4941.0,,,0,4.94,0.55,-0.5,0,1.32,0.2,-0.21,0,-0.17,0.11,-0.07,0.0,[Fe/H],3.16,0.08,-0.08,0.0,5.87307,0.023,-0.023,3.701,0.3,-0.3,5.60686,0.001085,-0.001085,13.4
61 Vir b,1,3,4.215,0.0006,-0.0006,0,0.050201,5e-06,-5e-06,0,5.1,0.5,-0.5,0.0,0.016,0.002,-0.002,0.0,0.12,0.11,-0.11,0.0,G5 V,5577.0,33.0,-33.0,0,0.963,0.011,-0.011,0,0.942,0.034,-0.029,0,-0.01,,,0.0,[Fe/H],4.34,0.03,-0.03,0.0,4.6955,0.0462,-0.0462,2.956,0.236,-0.236,4.54052,0.0055701,-0.0055701,2.11
61 Vir c,1,3,38.021,0.034,-0.034,0,0.2175,0.0001,-0.0001,0,18.2,1.1,-1.1,0.0,0.057,0.003,-0.003,0.0,0.14,0.06,-0.06,0.0,G5 V,5577.0,33.0,-33.0,0,0.963,0.011,-0.011,0,0.942,0.034,-0.029,0,-0.01,,,0.0,[Fe/H],4.34,0.03,-0.03,0.0,4.6955,0.0462,-0.0462,2.956,0.236,-0.236,4.54052,0.0055701,-0.0055701,4.46
61 Vir d,1,3,123.01,0.55,-0.55,0,0.476,0.001,-0.001,0,22.9,2.6,,0.0,0.072,0.008,-0.008,0.0,0.35,0.09,-0.09,0.0,G5 V,5577.0,33.0,-33.0,0,0.963,0.011,-0.011,0,0.942,0.034,-0.029,0,-0.01,,,0.0,[Fe/H],4.34,0.03,-0.03,0.0,4.6955,0.0462,-0.0462,2.956,0.236,-0.236,4.54052,0.0055701,-0.0055701,5.11
7 CMa b,1,2,763.0,17.0,-17.0,0,1.9,0.1,-0.1,0,826.3,190.7,-190.7,0.0,2.6,0.6,-0.6,0.0,0.14,0.06,-0.06,0.0,K1 III,4792.0,100.0,-100.0,0,2.3,0.1,-0.1,0,1.52,0.3,-0.3,0,0.21,0.1,-0.1,0.0,[Fe/H],3.25,0.1,-0.1,0.0,3.95,0.03,-0.03,1.564,0.252,-0.252,3.67853,0.0041348,-0.0041348,13.4
75 Cet b,2,2,691.9,3.6,-3.6,0,2.1,,,0,953.49,,,0.0,3.0,,,0.0,0.117,0.048,-0.048,0.0,G3 III,4846.0,18.0,-18.0,0,10.5,1.0,-1.0,0,2.49,0.02,-0.27,0,0.0,0.04,-0.04,0.0,[Fe/H],2.63,0.05,-0.05,0.0,5.3532,0.023,-0.023,3.207,0.272,-0.272,5.09343,0.0039324,-0.0039324,13.3
75 Cet c,2,2,2051.62,45.98,-40.47,0,3.929,0.058,-0.052,0,289.8595072,27.96889982,-45.4494622,0.0,0.912,0.088,-0.143,0.0,0.023,0.191,-0.003,0.0,G3 III,4809.0,,,0,10.38,0.15,-0.26,0,1.92,0.07,-0.08,0,0.1,0.08,-0.05,0.0,[Fe/H],2.69,0.03,-0.04,0.0,5.3532,0.023,-0.023,3.207,0.272,-0.272,5.09343,0.0039324,-0.0039324,13.9
8 UMi b,1,1,93.4,4.5,-4.5,0,0.49,0.03,-0.03,0,476.745,63.566,-63.566,0.0,1.5,0.2,-0.2,0.0,0.06,0.18,-0.18,0.0,K0,4847.4,7.5,-7.5,0,9.9,0.4,-0.4,0,1.8,0.1,-0.1,0,-0.03,0.02,-0.02,0.0,[Fe/H],2.57,0.03,-0.03,0.0,6.83295,0.023,-0.023,4.515,0.02,-0.02,6.55896,0.000237,-0.000237,13.5
81 Cet b,1,1,952.7,8.8,-8.8,0,2.5,,,0,1684.4,,,0.0,5.3,,,0.0,0.206,0.029,-0.029,0.0,G5 III,4785.0,25.0,-25.0,0,11.0,2.0,-1.0,0,2.4,0.1,-0.4,0,-0.06,0.03,-0.03,0.0,[Fe/H],2.35,0.08,-0.08,0.0,5.64307,0.023,-0.023,3.266,0.258,-0.258,5.37588,0.0031065,-0.0031065,13.1
91 Aqr b,3,1,181.4,0.1,-0.1,0,0.7,,,0,1017.0,,,0.0,3.2,,,0.0,0.027,0.026,-0.026,0.0,K0 III,4665.0,18.0,-18.0,0,11.0,0.1,-0.1,0,1.4,0.1,-0.1,0,-0.03,0.1,-0.1,0.0,[Fe/H],2.52,0.05,-0.05,0.0,4.23946,0.023,-0.023,1.597,0.236,-0.236,3.95311,0.008843,-0.008843,13.1
AF Lep b,1,1,8030.0,1800.0,-1800.0,0,8.4,1.1,-1.3,0,1017.050902,222.4798849,-190.6970442,0.0,3.2,0.7,-0.6,0.0,0.24,0.27,-0.15,0.0,F8 V,6130.0,60.0,-60.0,0,1.25,0.06,-0.06,0,1.2,0.06,-0.06,0,0.19,0.02,-0.02,0.0,[Fe/H],,,,,6.332,0.035,-0.035,4.926,0.021,-0.021,6.18644,0.0011395,-0.0011395,13.0
AU Mic b,1,4,8.463446,5e-06,-5e-06,0,0.07,0.006,-0.007,0,8.99,2.61,-2.67,0.0,0.0282857,0.00821198,-0.00840076,0.0,0.07,0.09,-0.04,0.0,M1 V,3540.0,120.0,-110.0,0,0.862,0.052,-0.052,0,0.635,0.04,-0.07,0,0.01,0.06,-0.06,0.0,[Fe/H],4.37,0.08,-0.1,0.0,8.81,0.1,-0.1,4.529,0.02,-0.02,7.84038,0.000731,-0.000731,4.79
AU Mic c,1,4,18.859023,2.2e-05,-2.4e-05,0,0.119,0.011,-0.011,0,14.46,3.24,-3.42,0.0,0.04549625,0.01019418,-0.01076052,0.0,0.18,0.08,-0.07,0.0,M1 V,3540.0,120.0,-110.0,0,0.862,0.052,-0.052,0,0.635,0.04,-0.07,0,0.01,0.06,-0.06,0.0,[Fe/H],4.37,0.08,-0.1,0.0,8.81,0.1,-0.1,4.529,0.02,-0.02,7.84038,0.000731,-0.000731,2.79
BD+05 4868 A b,2,1,1.271869,1e-06,-1e-06,0,0.0208,0.0003,-0.0003,0,6.2,,,1.0,0.01950738,,,1.0,,,,,K V,4596.0,65.0,-64.0,0,0.69,0.02,-0.02,0,0.7,0.02,-0.02,0,-0.05,0.08,-0.05,0.0,[Fe/H],4.6,0.03,-0.02,0.0,10.158,0.01,-0.01,7.448,0.026,-0.026,9.84152,0.000476,-0.000476,
BD+14 4559 b,1,1,268.94,0.99,-0.99,0,0.777,,,0,467.19,,,0.0,1.47,,,0.0,0.29,0.03,-0.03,0.0,K2 V,5008.0,20.0,-20.0,0,0.95,0.2,-0.2,0,0.86,0.15,-0.15,0,0.1,0.07,-0.07,0.0,[Fe/H],4.6,0.05,-0.05,0.0,9.78,0.03,-0.03,7.336,0.023,-0.023,9.35108,0.000253,-0.000253,13.8
BD+15 2940 b,1,1,137.48,0.34,-0.34,0,0.539,,,0,352.78,,,0.0,1.11,,,0.0,0.26,0.1,-0.1,0.0,K0,4796.0,117.0,-117.0,0,14.7,2.8,-2.8,0,1.1,0.2,-0.2,0,0.28,0.07,-0.07,0.0,[Fe/H],2.8,0.45,-0.45,0.0,9.01,0.03,-0.03,6.525,0.016,-0.016,8.7178,0.000291,-0.000291,13.7
BD+20 2457 b,1,2,379.63,2.01,-2.01,0,1.45,,,0,6807.63,,,0.0,21.42,,,0.0,0.15,0.03,-0.03,0.0,K2 II,4137.0,10.0,-10.0,0,49.0,26.0,-26.0,0,2.8,1.5,-1.5,0,-1.0,0.07,-0.07,0.0,[Fe/H],1.51,0.05,-0.05,0.0,9.743,0.008,-0.008,6.42,0.021,-0.021,9.22684,0.000442,-0.000442,12.1
BD+20 2457 c,1,2,621.99,10.2,-10.2,0,2.01,,,0,3963.17,,,0.0,12.47,,,0.0,0.18,0.06,-0.06,0.0,K2 II,4137.0,10.0,-10.0,0,49.0,26.0,-26.0,0,2.8,1.5,-1.5,0,-1.0,0.07,-0.07,0.0,[Fe/H],1.51,0.05,-0.05,0.0,9.743,0.008,-0.008,6.42,0.021,-0.021,9.22684,0.000442,-0.000442,12.4
BD+20 274 b,1,1,578.2,5.4,-5.4,0,1.3,,,0,1334.886,,,0.0,4.2,,,0.0,0.21,0.06,-0.06,0.0,K5 III,4296.0,10.0,-10.0,0,17.3,0.9,-0.9,0,0.8,0.2,-0.2,0,-0.46,0.07,-0.07,0.0,[Fe/H],1.99,0.05,-0.05,0.0,9.367,0.008,-0.008,6.169,0.027,-0.027,8.91613,0.000468,-0.000468,13.0
BD+20 594 b,1,1,41.6855,0.003,-0.0031,0,0.241,0.019,-0.017,0,16.3,6.0,-6.1,0.0,0.05128528,0.01887802,-0.01919265,0.0,0.0,,,0.0,G,5766.0,99.0,-99.0,0,0.928,0.055,-0.04,0,0.961,0.032,-0.029,0,-0.15,0.05,-0.05,0.0,[Fe/H],4.5,0.08,-0.08,0.0,10.849,0.012,-0.012,9.368,0.018,-0.018,10.8644,0.000249,-0.000249,2.57807
BD+48 738 b,1,1,392.6,5.5,-5.5,0,1.0,,,0,289.2253,,,0.0,0.91,,,0.0,0.2,0.1,-0.1,0.0,K0 III,4414.0,15.0,-15.0,0,11.0,1.0,-1.0,0,0.74,0.39,-0.39,0,-0.2,0.07,-0.07,0.0,[Fe/H],2.24,0.06,-0.06,0.0,9.139,0.004,-0.004,5.904,0.018,-0.018,8.65569,0.000365,-0.000365,13.9
BD+49 828 b,1,1,2590.0,300.0,-180.0,0,4.2,0.32,-0.2,0,508.5,127.1,-63.6,0.0,1.6,0.4,-0.2,0.0,0.35,0.24,-0.1,0.0,K0,4943.0,30.0,-30.0,0,7.6,1.3,-1.3,0,1.52,0.22,-0.22,0,-0.19,0.06,-0.06,0.0,[Fe/H],2.85,0.09,-0.09,0.0,9.381,0.005,-0.005,6.571,0.021,-0.021,9.02851,0.000235,-0.000235,13.5
BD-11 4672 b,1,2,1667.0,33.0,-31.0,0,2.28,0.07,-0.07,0,168.44,15.89,-15.89,0.0,0.53,0.05,-0.05,0.0,0.05,0.06,-0.04,0.0,K7 V,4475.0,100.0,-100.0,0,0.52,0.02,-0.02,0,0.571,0.014,-0.014,0,-0.48,0.05,-0.05,0.0,[Fe/H],4.1,0.36,-0.36,0.0,10.03,0.03,-0.03,6.867,0.024,-0.024,9.48511,0.000518,-0.000518,14.1
BD-17 63 b,1,1,655.6,0.6,-0.6,0,1.34,0.02,-0.02,0,1620.9,38.14,-38.14,0.0,5.1,0.12,-0.12,0.0,0.54,0.005,-0.005,0.0,K5 V,4714.0,93.0,-93.0,0,0.69,,,0,0.74,0.03,-0.03,0,-0.03,0.06,-0.06,0.0,[Fe/H],4.26,0.24,-0.24,0.0,9.62,0.03,-0.03,6.914,0.024,-0.024,9.20112,0.000514,-0.000514,12.8
BD-210397 b,1,2,1891.0,56.0,-48.0,0,2.63,0.06,-0.05,0,214.0,31.0,-32.0,0.0,0.7,0.1,-0.1,0.0,0.1,0.1,-0.1,0.0,K7 V,4051.0,239.0,-239.0,0,0.747,0.088,-0.088,0,0.679,0.017,-0.017,0,0.12,0.1,-0.1,0.0,[Fe/H],4.67,0.06,-0.06,0.0,9.84,0.03,-0.03,6.504,0.018,-0.018,9.25962,0.000826,-0.000826,14.0
BD-210397 c,1,2,6360.0,6260.0,-711.0,0,5.9,3.4,-0.5,0,759.0,485.0,-76.0,0.0,2.4,1.5,-0.2,0.0,0.1,0.2,-0.1,0.0,K7 V,4051.0,239.0,-239.0,0,0.747,0.088,-0.088,0,0.679,0.017,-0.017,0,0.12,0.1,-0.1,0.0,[Fe/H],4.67,0.06,-0.06,0.0,9.84,0.03,-0.03,6.504,0.018,-0.018,9.25962,0.000826,-0.000826,12.9
Barnard b,1,4,3.1533,0.0006,-0.0006,0,0.02294,0.00033,-0.00033,0,0.37,0.05,-0.05,0.0,0.00116415,0.00015732,-0.00015732,0.0,0.16,,,1.0,M3.5-4 V,3195.0,28.0,-28.0,0,0.185,0.006,-0.006,0,0.162,0.007,-0.007,0,-0.56,0.07,-0.07,0.0,[Fe/H],4.9,0.09,-0.09,0.0,9.54,0.1,-0.1,4.524,0.02,-0.02,8.19511,0.001998,-0.001998,0.72
Barnard c,1,4,4.1244,0.0006,-0.0006,0,0.0274,0.0004,-0.0004,0,0.335,0.03,-0.03,0.0,0.00105403,9.439e-05,-9.439e-05,0.0,0.08,0.06,-0.05,0.0,M3.5-4 V,3195.0,28.0,-28.0,0,0.185,0.006,-0.006,0,0.162,0.007,-0.007,0,-0.56,0.07,-0.07,0.0,[Fe/H],4.9,0.09,-0.09,0.0,9.54,0.1,-0.1,4.524,0.02,-0.02,8.19511,0.001998,-0.001998,0.743
Barnard d,1,4,2.3402,0.0003,-0.0003,0,0.0188,0.0003,-0.0003,0,0.263,0.024,-0.024,0.0,0.00082749,7.551e-05,-7.551e-05,0.0,0.04,0.05,-0.03,0.0,M3.5-4 V,3195.0,28.0,-28.0,0,0.185,0.006,-0.006,0,0.162,0.007,-0.007,0,-0.56,0.07,-0.07,0.0,[Fe/H],4.9,0.09,-0.09,0.0,9.54,0.1,-0.1,4.524,0.02,-0.02,8.19511,0.001998,-0.001998,0.694
Barnard e,1,4,6.7392,0.003,-0.003,0,0.0381,0.0005,-0.0005,0,0.193,0.033,-0.033,0.0,0.00060725,0.00010383,-0.00010383,0.0,0.04,0.03,-0.04,0.0,M3.5-4 V,3195.0,28.0,-28.0,0,0.185,0.006,-0.006,0,0.162,0.007,-0.007,0,-0.56,0.07,-0.07,0.0,[Fe/H],4.9,0.09,-0.09,0.0,9.54,0.1,-0.1,4.524,0.02,-0.02,8.19511,0.001998,-0.001998,0.637
CD Cet b,1,1,2.2907,0.00012,-0.00012,0,0.0185,0.0013,-0.0013,0,3.95,0.42,-0.43,0.0,0.01242809,0.00132147,-0.00135293,0.0,,,,,M5.0 V,3130.0,51.0,-51.0,0,0.175,0.006,-0.006,0,0.161,0.01,-0.01,0,0.13,0.16,-0.16,0.0,[Fe/H],4.93,0.04,-0.04,0.0,13.95,0.2,-0.2,7.833,0.024,-0.024,12.1232,0.00105,-0.00105,1.82
CFHTWIR-Oph 98 b,1,1,8040000.0,470000.0,-470000.0,0,200.0,6.0,-6.0,0,2479.061575,222.4798849,-254.2627256,0.0,7.8,0.7,-0.8,0.0,,,,,M9-L1,2320.0,40.0,-40.0,0,0.245,0.007,-0.008,0,0.0147,0.0008,-0.0008,0,,,,,,3.845,0.007,-0.008,0.0,,,,14.593,0.098,-0.098,,,,20.8487041
COCONUTS-2 b,1,1,402000000.0,470000000.0,-100000000.0,0,7506.0,5205.0,-2060.0,0,2002.318964,476.7426105,-603.8739733,0.0,6.3,1.5,-1.9,0.0,,,,,M3 V,3406.0,69.0,-69.0,0,0.388,0.011,-0.011,0,0.37,0.02,-0.02,0,0.0,0.08,-0.08,0.0,[Fe/H],4.83,0.03,-0.03,0.0,11.298,0.027,-0.027,6.579,0.018,-0.018,10.146,0.001567,-0.001567,12.57647635
CoRoT-10 b,1,1,13.2406,0.0002,-0.0002,0,0.1055,0.0021,-0.0021,0,874.0,50.85,-50.85,0.0,2.75,0.16,-0.16,0.0,0.53,0.04,-0.04,0.0,K1 V,5075.0,75.0,-75.0,0,0.79,0.05,-0.05,0,0.89,0.05,-0.05,0,0.26,0.07,-0.07,0.0,[Fe/H],4.65,0.1,-0.1,0.0,15.293,0.137,-0.137,11.782,0.021,-0.021,14.6645,0.000329,-0.000329,10.87
CoRoT-11 b,1,1,2.99433,1.1e-05,-1.1e-05,0,0.0436,0.005,-0.005,0,740.51,108.06,-108.06,0.0,2.33,0.34,-0.34,0.0,0.0,,,0.0,F6 V,6440.0,120.0,-120.0,0,1.37,0.03,-0.03,0,1.27,0.05,-0.05,0,-0.03,0.08,-0.08,0.0,[Fe/H],4.22,0.23,-0.23,0.0,12.897,0.114,-0.114,11.248,0.022,-0.022,12.841,0.000336,-0.000336,16.03
CoRoT-13 b,1,1,4.03519,3e-05,-3e-05,0,0.051,0.0031,-0.0031,0,415.704,20.976,-20.976,0.0,1.308,0.066,-0.066,0.0,0.0,,,0.0,G0 V,5945.0,90.0,-90.0,0,1.01,0.03,-0.03,0,1.09,0.02,-0.02,0,0.01,0.07,-0.07,0.0,[Fe/H],4.46,0.05,-0.05,0.0,15.005,0.297,-0.297,13.376,0.039,-0.039,14.9147,0.0005,-0.0005,9.92
CoRoT-14 b,1,1,1.51214,0.00013,-0.00013,0,0.027,0.002,-0.002,0,2415.4,190.7,-190.7,0.0,7.6,0.6,-0.6,0.0,0.0,,,0.0,F9 V,6035.0,100.0,-100.0,0,1.21,0.08,-0.08,0,1.13,0.09,-0.09,0,0.05,0.15,-0.15,0.0,[Fe/H],4.35,0.15,-0.15,0.0,15.932,0.206,-0.206,13.806,0.053,-0.053,15.8116,0.000769,-0.000769,12.22
CoRoT-16 b,1,1,5.35227,0.0002,-0.0002,0,0.0618,0.0015,-0.0015,0,170.032,27.014,-26.379,0.0,0.535,0.085,-0.083,0.0,0.33,0.09,-0.1,0.0,G5 V,5650.0,100.0,-100.0,0,1.19,0.14,-0.13,0,1.098,0.082,-0.078,0,0.19,0.06,-0.06,0.0,[M/H],4.36,0.1,-0.1,0.0,16.052,0.217,-0.217,12.847,0.037,-0.037,15.6507,0.000998,-0.000998,13.11
CoRoT-17 b,1,1,3.7681,0.0003,-0.0003,0,0.0461,0.0008,-0.0008,0,772.29,95.34,-95.34,0.0,2.43,0.3,-0.3,0.0,0.0,,,0.0,G2 V,5740.0,80.0,-80.0,0,1.59,0.07,-0.07,0,1.04,0.1,-0.1,0,0.0,0.1,-0.1,0.0,[Fe/H],4.4,0.1,-0.1,0.0,16.29,0.32,-0.32,12.472,0.054,-0.054,15.4368,0.000524,-0.000524,11.43
CoRoT-18 b,1,1,1.9000693,2.8e-06,-2.8e-06,0,0.0295,0.0016,-0.0016,0,1102.82,120.77,-120.77,0.0,3.47,0.38,-0.38,0.0,0.08,,,1.0,G9 V,5440.0,100.0,-100.0,0,1.0,0.13,-0.13,0,0.95,0.15,-0.15,0,-0.1,0.1,-0.1,0.0,[Fe/H],4.4,0.1,-0.1,0.0,14.868,0.172,-0.172,13.014,0.03,-0.03,14.8009,0.001211,-0.001211,14.68
CoRoT-19 b,1,1,3.89713,2e-05,-2e-05,0,0.0518,0.0008,-0.0008,0,352.78,19.07,-19.07,0.0,1.11,0.06,-0.06,0.0,0.047,0.045,-0.045,0.0,F9 V,6090.0,70.0,-70.0,0,1.65,0.04,-0.04,0,1.21,0.05,-0.05,0,-0.02,0.1,-0.1,0.0,[Fe/H],4.07,0.03,-0.03,0.0,14.135,0.149,-0.149,11.837,0.024,-0.024,13.7831,0.000558,-0.000558,14.46
CoRoT-20 b,1,2,9.24285,0.0003,-0.0003,0,0.0902,0.0021,-0.0021,0,1347.54,73.1,-73.1,0.0,4.24,0.23,-0.23,0.0,0.562,0.013,-0.013,0.0,G2 V,5880.0,90.0,-90.0,0,1.02,0.05,-0.05,0,1.14,0.08,-0.08,0,0.14,0.12,-0.12,0.0,[Fe/H],4.2,0.15,-0.15,0.0,14.63,0.092,-0.092,12.513,0.029,-0.029,14.4686,0.000412,-0.000412,9.41556
CoRoT-21 b,1,1,2.72474,0.00014,-0.00014,0,0.0417,0.0011,-0.0011,0,718.2958,98.5273,-98.5273,0.0,2.26,0.31,-0.31,0.0,0.0,,,0.0,F8 IV,6200.0,100.0,-100.0,0,1.95,0.21,-0.21,0,1.29,0.09,-0.09,0,0.0,0.1,-0.1,0.0,[Fe/H],3.7,0.1,-0.1,0.0,16.058,0.435,-0.435,13.813,0.054,-0.054,15.8558,0.001968,-0.001968,14.5717
CoRoT-22 b,1,1,9.75598,0.00011,-0.00011,0,0.092,0.0014,-0.0014,0,12.2,14.0,-8.8,0.0,0.038,0.044,-0.028,0.0,0.077,0.3,-0.042,0.0,G3 V,5939.0,54.0,-120.0,0,1.136,0.038,-0.09,0,1.099,0.049,-0.049,0,0.17,0.07,-0.12,0.0,[Fe/H],4.361,0.065,-0.029,0.0,13.82,0.114,-0.114,11.988,0.026,-0.026,13.7305,0.000304,-0.000304,4.88
