pl_name,sy_snum,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,pl_rade
TOI-1266 d,1,3,32.34,0.099,-0.099,0,0.15,0.0023,-0.0024,0,4.59,0.96,-0.94,0.0,0.01444176,0.0030205,-0.00295757,0.0,0.12,,,1.0,M3 V,3618.0,157.0,-157.0,0,0.436,0.013,-0.013,0,0.431,0.02,-0.02,0,-0.195,0.115,-0.115,0.0,[Fe/H],4.793,0.032,-0.033,0.0,12.941,0.049,-0.049,8.84,0.02,-0.02,12.1222,0.000249,-0.000249,1.74
TOI-1268 b,1,1,8.157728,5e-06,-5e-06,0,0.0688,0.0017,-0.0018,0,,,,,,,,,0.12,0.24,-0.12,0.0,K V,5257.0,40.0,-40.0,0,0.86,0.02,-0.02,0,0.9,0.13,-0.13,0,0.17,0.06,-0.06,0.0,[M/H],4.52,0.07,-0.07,0.0,10.92,0.008,-0.008,8.911,0.014,-0.014,10.692,0.000739,-0.000739,9.1
TOI-1278 b,1,1,14.47567,0.00021,-0.00021,0,0.095,0.001,-0.001,0,5879.82553,158.9142035,-158.9142035,0.0,18.5,0.5,-0.5,0.0,0.013,0.004,-0.004,0.0,M0 V,3799.0,42.0,-42.0,0,0.573,0.012,-0.012,0,0.54,0.02,-0.02,0,-0.01,0.28,-0.28,0.0,[Fe/H],4.68,0.1,-0.1,0.0,13.502,0.093,-0.093,9.735,0.012,-0.012,12.7543,0.000271,-0.000271,12.21778896
TOI-1295 b,1,1,3.1968838,5e-07,-5e-07,0,0.047,0.002,-0.002,0,451.3163379,25.42627256,-25.42627256,0.0,1.42,0.08,-0.08,0.0,0.024,0.02,-0.02,0.0,F,6280.0,50.0,-50.0,0,1.7,0.03,-0.03,0,1.38,0.08,-0.08,0,0.26,0.06,-0.06,0.0,[Fe/H],4.1,0.08,-0.08,0.0,11.303,0.011,-0.011,10.08,0.016,-0.016,11.1307,0.000491,-0.000491,15.69257298
TOI-132 b,1,1,2.1097019,1.2e-05,-1.1e-05,0,0.026,0.002,-0.003,0,22.4,1.9,-1.92,0.0,0.07047793,0.00597804,-0.00604097,0.0,0.059,0.05,-0.037,0.0,G8 V,5397.0,46.0,-46.0,0,0.9,0.02,-0.02,0,0.97,0.06,-0.06,0,0.16,0.1,-0.1,0.0,[Fe/H],4.48,0.23,-0.23,0.0,11.197,0.013,-0.013,9.646,0.023,-0.023,11.3208,0.000702,-0.000702,3.42
TOI-1338 b,2,2,95.174,0.035,-0.035,0,0.4607,0.0088,-0.0088,0,21.8,0.9,-0.9,1.0,0.0685,0.0029,-0.0029,1.0,0.088,0.0043,-0.0043,0.0,F8,6050.0,80.0,-80.0,0,1.345,0.046,-0.046,0,1.127,0.069,-0.069,0,,,,,,,,,,11.722,0.022,-0.022,10.635,0.021,-0.021,11.8764,0.000174,-0.000174,7.661
TOI-1338 c,2,2,215.5,3.3,-3.3,0,0.794,0.016,-0.016,0,65.2,11.8,-11.8,0.0,0.205,0.037,-0.037,0.0,0.16,,,1.0,F8,6050.0,80.0,-80.0,0,1.345,0.046,-0.046,0,1.127,0.069,-0.069,0,,,,,,,,,,11.722,0.022,-0.022,10.635,0.021,-0.021,11.8764,0.000174,-0.000174,10.3
TOI-1386 b,1,2,25.83839,0.00013,-0.00013,0,0.1732,0.0027,-0.0033,0,47.03860424,6.03873973,-5.72091133,0.0,0.148,0.019,-0.018,0.0,0.061,0.056,-0.042,0.0,G5V,5793.0,76.0,-73.0,0,1.015,0.028,-0.026,0,1.038,0.05,-0.058,0,0.164,0.056,-0.056,0.0,[Fe/H],4.441,0.028,-0.033,0.0,10.61,0.008,-0.008,9.086,0.019,-0.019,10.5069,0.000237,-0.000237,6.2163865
TOI-1386 c,1,2,227.6,4.6,-4.0,0,0.739,0.015,-0.016,0,98.20897776,12.07747947,-12.07747947,0.0,0.309,0.038,-0.038,0.0,0.27,0.13,-0.13,0.0,G5V,5793.0,76.0,-73.0,0,1.015,0.028,-0.026,0,1.038,0.05,-0.058,0,0.164,0.056,-0.056,0.0,[Fe/H],4.441,0.028,-0.033,0.0,10.61,0.008,-0.008,9.086,0.019,-0.019,10.5069,0.000237,-0.000237,10.3
TOI-1408 b,1,2,4.42587,3e-05,-3e-05,0,0.05778,0.0001,-0.0001,0,593.0,4.0,-4.0,0.0,1.86578665,0.01258541,-0.01258541,0.0,0.0023,0.0005,-0.0005,0.0,F8 V,6117.0,31.0,-31.0,0,1.53,0.02,-0.02,0,1.312,0.009,-0.009,0,0.25,0.06,-0.06,0.0,[Fe/H],4.1,0.06,-0.06,0.0,9.270001,0.003,-0.003,8.078,0.02,-0.02,9.18795,0.000223,-0.000223,25.0
