pl_name,sy_snum,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
HD 215152 c,1,4,7.28243,0.00451,-0.00827,0,0.067393,0.00086,-0.000893,0,1.72,0.618,-0.725,0,0.0054117,0.00194444,-0.00228109,0,0,,,0,K3 V,4935,76,-76,0,0.73,0.018,-0.018,0,0.77,0.015,-0.015,0,-0.1,0.04,-0.04,0,[Fe/H],4.4,,,0,8.11,0.03,-0.03,5.775,0.026,-0.026,7.80163,0.000391,-0.000391
HD 215152 d,1,4,10.86499,0.00564,-0.00613,0,0.08799,0.00113,-0.00116,0,2.801,0.809,-0.923,0,0.00881289,0.00254539,-0.00290407,0,0,,,0,K3 V,4935,76,-76,0,0.73,0.018,-0.018,0,0.77,0.015,-0.015,0,-0.1,0.04,-0.04,0,[Fe/H],4.4,,,0,8.11,0.03,-0.03,5.775,0.026,-0.026,7.80163,0.000391,-0.000391
HD 215152 e,1,4,25.1967,0.0476,-0.0505,0,0.15417,0.00199,-0.00204,0,2.877,1.063,-1.481,0,0.00905201,0.00334456,-0.00465972,0,0,,,0,K3 V,4935,76,-76,0,0.73,0.018,-0.018,0,0.77,0.015,-0.015,0,-0.1,0.04,-0.04,0,[Fe/H],4.4,,,0,8.11,0.03,-0.03,5.775,0.026,-0.026,7.80163,0.000391,-0.000391
HD 216536 b,1,1,148.6,0.7,-0.7,0,0.609,0.002,-0.002,0,467.19,63.56,-38.14,0,1.47,0.2,-0.12,0,0.38,0.12,-0.1,0,K0,4639,45,-45,0,12.5,4,-4,0,1.36,0.38,-0.38,0,-0.17,0.09,-0.09,0,[Fe/H],2.36,0.21,-0.21,0,9.229,0.003,-0.003,6.496,0.018,-0.018,8.88324,0.000242,-0.000242
HD 21749 c,1,2,7.78993,0.00051,-0.00044,0,0.0695,0.0021,-0.0023,0,3.7,,,1,0.01164144,,,1,,,,,K4.5,4640,100,-100,0,0.695,0.03,-0.03,0,0.73,0.07,-0.07,0,0.003,0.06,-0.06,0,[Fe/H],4.613,0.052,-0.061,0,8.08,0.03,-0.03,5.375,0.024,-0.024,7.67906,0.00026,-0.00026
HD 217786 b,2,2,1319,4,-4,0,2.38,0.04,-0.04,0,4131.62,254.253,-254.253,0,13,0.8,-0.8,0,0.4,0.05,-0.05,0,F8 V,5966,65,-65,0,1.27,0.06,-0.06,0,1.02,0.03,-0.03,0,-0.135,0.043,-0.043,0,[Fe/H],4.35,0.11,-0.11,0,7.78,0.03,-0.03,6.352,0.02,-0.02,7.63573,0.000282,-0.000282
HD 219077 b,1,1,5501,130,-119,0,6.22,0.09,-0.09,0,3302.11,28.6,-28.6,0,10.39,0.09,-0.09,0,0.77,0.003,-0.003,0,G8 V,5362,18,-18,0,1.91,0.03,-0.03,0,1.05,0.02,-0.02,0,-0.13,0.01,-0.01,0,[Fe/H],4,0.03,-0.03,0,6.12,0.03,-0.03,4.287,8.888,-8.888,5.91597,0.0007371,-0.0007371
HD 219134 b,1,6,3.0931,0.0001,-0.0001,0,0.038474,0.0000008,-0.0000008,0,3.81396,0.31783,-0.31783,0,0.012,0.001,-0.001,0,0,,,0,K3 V,4913,,,0,0.77,0.02,-0.02,0,0.794,0.037,-0.022,0,0.08,,,0,[Fe/H],4.51,,,0,5.56911,0.023,-0.023,3.261,0.304,-0.304,5.2402,0.0022257,-0.0022257
HD 219134 c,1,6,6.767,0.004,-0.004,0,0.064,0.001,-0.001,0,2.78,0.61,-0.61,0,0.00874681,0.00191927,-0.00191927,0,0.08,0.45,-0.01,0,K3 V,4699,16,-16,0,0.778,0.005,-0.005,0,0.78,0.02,-0.02,0,0.11,0.04,-0.04,0,[Fe/H],4.63,0.1,-0.1,0,5.56911,0.023,-0.023,3.261,0.304,-0.304,5.2402,0.0022257,-0.0022257
HD 219134 d,1,6,46.66,0.08,-0.08,0,0.233,0.002,-0.002,0,8.94,1.13,-1.13,0,0.02812824,0.00355536,-0.00355536,0,0.46,0.11,-0.11,0,K3 V,4699,16,-16,0,0.778,0.005,-0.005,0,0.78,0.02,-0.02,0,0.11,0.04,-0.04,0,[Fe/H],4.63,0.1,-0.1,0,5.56911,0.023,-0.023,3.261,0.304,-0.304,5.2402,0.0022257,-0.0022257
HD 219134 f,1,6,22.805,0.005,-0.005,0,0.14574,0.00002,-0.00002,0,8.89924,0.95349,-0.95349,0,0.028,0.003,-0.003,0,0,,,0,K3 V,4913,,,0,0.77,0.02,-0.02,0,0.794,0.037,-0.022,0,0.08,,,0,[Fe/H],4.51,,,0,5.56911,0.023,-0.023,3.261,0.304,-0.304,5.2402,0.0022257,-0.0022257
HD 219134 g,1,6,94.2,0.2,-0.2,0,0.3753,0.0004,-0.0004,0,10.80622,1.27132,-1.27132,0,0.034,0.004,-0.004,0,0,,,0,K3 V,4913,,,0,0.77,0.02,-0.02,0,0.794,0.037,-0.022,0,0.08,,,0,[Fe/H],4.51,,,0,5.56911,0.023,-0.023,3.261,0.304,-0.304,5.2402,0.0022257,-0.0022257
HD 219134 h,1,6,2247,43,-43,0,3.11,0.04,-0.04,0,108.0622,6.3566,-6.3566,0,0.34,0.02,-0.02,0,0.06,0.04,-0.04,0,K3 V,4913,,,0,0.77,0.02,-0.02,0,0.794,0.037,-0.022,0,0.08,,,0,[Fe/H],4.51,,,0,5.56911,0.023,-0.023,3.261,0.304,-0.304,5.2402,0.0022257,-0.0022257
HD 219139 b,1,1,275.5,2.3,-1,0,0.94,0.06,-0.07,0,247.9061575,15.89142035,-63.5656814,0,0.78,0.05,-0.2,0,0.11,0.087,-0.081,0,G5 III,4831,,,0,11.22,0.55,-0.27,0,1.46,0.31,-0.29,0,-0.2,0.09,-0.07,0,[Fe/H],2.48,0.08,-0.07,0,5.84863,0.023,-0.023,3.392,0.23,-0.23,5.57762,0.0025034,-0.0025034
HD 219415 b,1,1,2093.3,32.7,-32.7,0,3.2,,,0,317.83,,,0,1,,,0,0.4,0.09,-0.09,0,K0 III,4820,20,-20,0,2.9,0.4,-0.4,0,1,0.1,-0.1,0,-0.04,0.09,-0.09,0,[Fe/H],3.51,0.06,-0.06,0,8.909,0.003,-0.003,6.421,0.02,-0.02,8.59745,0.00021,-0.00021
HD 219666 b,1,1,6.04345,0.00001,-0.00001,0,0.104,0.005,-0.005,0,,,,,,,,,,,,,G5 V,5527,65,-65,0,1.03,0.03,-0.03,0,0.92,0.03,-0.03,0,0.04,0.04,-0.04,0,[Fe/H],4.4,0.11,-0.11,0,9.809,0.003,-0.003,8.158,0.033,-0.033,9.64956,0.000219,-0.000219
HD 219828 b,1,2,3.83492,0.00014,-0.00014,0,0.0507,0.0029,-0.0029,0,20.97678,3.81396,-3.81396,0,0.066,0.012,-0.012,0,0.101,0.063,-0.063,0,G0 IV,5807,,,0,1.61,0.1,-0.1,0,1.18,0.2,-0.2,0,0.18,,,0,[Fe/H],,,,,8.04,0.03,-0.03,6.53,0.018,-0.018,7.88338,0.000317,-0.000317
HD 219828 c,1,2,4682,99,-99,0,5.79,0.41,-0.41,0,4640.318,731.009,-731.009,0,14.6,2.3,-2.3,0,0.8102,0.0051,-0.0051,0,G0 IV,5807,,,0,1.61,0.1,-0.1,0,1.18,0.2,-0.2,0,0.18,,,0,[Fe/H],,,,,8.04,0.03,-0.03,6.53,0.018,-0.018,7.88338,0.000317,-0.000317
HD 220074 b,1,1,672.1,3.7,-3.7,0,1.6,0.1,-0.1,0,3527.8,572.1,-572.1,0,11.1,1.8,-1.8,0,0.14,0.05,-0.05,0,M2 III,3935,110,-110,0,49.7,9.5,-9.5,0,1.2,0.3,-0.3,0,-0.25,0.25,-0.25,0,[Fe/H],1.1,0.2,-0.2,0,6.40607,0.023,-0.023,2.006,0.212,-0.212,5.62737,0.0019476,-0.0019476
HD 220689 b,1,1,2209,103,-81,0,3.36,0.09,-0.09,0,336.89,28.6,-28.6,0,1.06,0.09,-0.09,0,0.16,0.1,-0.07,0,G3 V,5921,26,-26,0,1.07,0.04,-0.04,0,1.04,0.03,-0.03,0,0,0.03,-0.03,0,[Fe/H],4.32,0.03,-0.03,0,7.74,0.03,-0.03,6.326,0.031,-0.031,7.59438,0.000404,-0.000404
HD 221420 b,1,1,10090.00000000000,890,-560,0,10.15,0.59,-0.38,0,7278.27052,699.2224954,-699.2224954,0,22.9,2.2,-2.2,0,0.14,0.04,-0.03,0,G2 IV-V,5847,22,-22,0,1.947,0.013,-0.013,0,1.351,0.013,-0.013,0,0.33,0.02,-0.02,0,[Fe/H],4.03,0.03,-0.03,0,5.82,0.03,-0.03,4.306,0.036,-0.036,5.65862,0.0013644,-0.0013644
HD 222076 b,1,1,871,19,-19,0,1.83,0.03,-0.03,0,495.8148,34.9613,-34.9613,0,1.56,0.11,-0.11,0,0.08,0.05,-0.05,0,K0 III,4806,100,-100,0,4.1,0.6,-0.6,0,1.07,0.25,-0.25,0,0.05,0.1,-0.1,0,[Fe/H],3.31,0.15,-0.15,0,7.47,0.03,-0.03,5.127,0.027,-0.027,7.18755,0.000208,-0.000208
HD 222155 b,1,1,3999,469,-541,0,5.1,0.6,-0.7,0,603.85,212.94,-168.44,0,1.9,0.67,-0.53,0,0.16,0.27,-0.22,0,G2 V,5765,22,-22,0,1.67,0.07,-0.07,0,1.13,0.11,-0.11,0,-0.11,0.05,-0.05,0,[Fe/H],4.1,0.13,-0.13,0,7.11716,0.023,-0.023,5.51,0.023,-0.023,6.93563,0.000146,-0.000146
HD 222237 b,1,1,14892.00000000000,2112,-1655,0,10.8,1.1,-1,0,1649.529432,184.3404761,-184.3404761,0,5.19,0.58,-0.58,0,0.56,0.03,-0.03,0,K3 V,4751,139,-139,0,0.71,0.06,-0.06,0,0.76,0.09,-0.09,0,-0.32,0.02,-0.02,0,[Fe/H],4.61,0.1,-0.1,0,7.09,0.03,-0.03,4.581,0.029,-0.029,6.73988,0.00021,-0.00021
HD 224018 b,1,3,10.6413,0.0028,-0.0028,0,0.0952,0.002,-0.002,0,4.1,0.8,-0.8,0,0.01290004,0.00251708,-0.00251708,0,0.06,0.07,-0.04,0,G V,5784,60,-60,0,1.147,0.028,-0.028,0,1.013,0.069,-0.061,0,0.05,0.05,-0.05,0,[Fe/H],4.32,0.04,-0.03,0,9.715,0.005,-0.005,8.145001,0.027,-0.027,9.52137,0.000154,-0.000154
HD 224018 c,1,3,36.57669,0.00019,-0.00017,0,0.217,0.005,-0.005,0,10.4,1.3,-1.1,0,0.03272206,0.00409026,-0.00346099,0,0.02,0.02,-0.02,0,G V,5784,60,-60,0,1.147,0.028,-0.028,0,1.013,0.069,-0.061,0,0.05,0.05,-0.05,0,[Fe/H],4.32,0.04,-0.03,0,9.715,0.005,-0.005,8.145001,0.027,-0.027,9.52137,0.000154,-0.000154
HD 224018 d,1,3,138.0731,27.6127,-0.005,0,0.53,0.06,-0.02,0,4.2,1.8,-1.6,0,0.01321468,0.00566343,-0.00503416,0,0.04,0.05,-0.04,0,G V,5784,60,-60,0,1.147,0.028,-0.028,0,1.013,0.069,-0.061,0,0.05,0.05,-0.05,0,[Fe/H],4.32,0.04,-0.03,0,9.715,0.005,-0.005,8.145001,0.027,-0.027,9.52137,0.000154,-0.000154
HD 224538 b,1,1,1189.1,5.1,-5.1,0,2.28,0.08,-0.08,0,1897.4451,133.4886,-133.4886,0,5.97,0.42,-0.42,0,0.464,0.022,-0.022,0,F9 IV/V,6097,100,-100,0,1.54,0.06,-0.06,0,1.34,0.05,-0.05,0,0.27,0.1,-0.1,0,[Fe/H],4.19,0.04,-0.04,0,8.06,0.03,-0.03,6.76,0.016,-0.016,7.92192,0.000272,-0.000272
HD 224693 b,1,1,26.6904,0.0019,-0.0019,0,0.191,0.014,-0.014,0,222.481,38.1396,-38.1396,0,0.7,0.12,-0.12,0,0.104,0.017,-0.017,0,G2 V,5894,,,0,1.93,0.18,-0.18,0,1.31,0.29,-0.29,0,0.27,,,0,[Fe/H],,,,,8.23,0.03,-0.03,6.808,0.02,-0.02,8.08528,0.000307,-0.000307
HD 22532 b,1,1,872.6,2.8,-2.8,0,1.9,0.004,-0.004,0,673.7962228,28.60455663,-28.60455663,0,2.12,0.09,-0.09,0,0.03,0.03,-0.03,0,G8 III/IV,5038,24,-24,0,5.69,0.07,-0.07,0,1.57,0.07,-0.07,0,-0.19,0.02,-0.02,0,[Fe/H],3.09,0.07,-0.07,0,7.85,0.03,-0.03,5.671,0.017,-0.017,7.6043,0.000219,-0.000219
HD 231701 b,1,1,141.63,0.067,-0.067,0,0.567,0.053,-0.053,0,359.1479,79.4575,-79.4575,0,1.13,0.25,-0.25,0,0.13,0.032,-0.032,0,F8 V,6101,,,0,1.53,0.2,-0.2,0,1.21,0.34,-0.34,0,0.05,,,0,[Fe/H],,,,,8.97,0.03,-0.03,7.657,0.026,-0.026,8.83051,0.000288,-0.000288
HD 233604 b,1,1,192,0.22,-0.22,0,0.747,,,0,2089.644,,,0,6.575,,,0,0.05,0.03,-0.03,0,K5,4791,45,-45,0,10.9,0.6,-0.6,0,1.5,0.3,-0.3,0,-0.36,0.04,-0.04,0,[Fe/H],2.55,0.18,-0.18,0,10.291,0.009,-0.009,7.979,0.021,-0.021,10.1054,0.000357,-0.000357
HD 23472 b,1,5,17.667087,0.000042,-0.000042,0,0.1162,0.0018,-0.0018,0,8.32,0.78,-0.79,0,0.02617765,0.00245415,-0.00248562,0,0.072,0.039,-0.04,0,K4 V,4684,99,-99,0,0.71,0.02,-0.02,0,0.67,0.03,-0.03,0,-0.2,0.05,-0.05,0,[Fe/H],4.53,0.08,-0.08,0,9.73,0.03,-0.03,7.207,0.023,-0.023,9.38476,0.000227,-0.000227
HD 23472 c,1,5,29.79749,0.00013,-0.00014,0,0.1646,0.0024,-0.0024,0,3.41,0.88,-0.81,0,0.01072906,0.00276879,-0.00254855,0,0.063,0.054,-0.043,0,K4 V,4684,99,-99,0,0.71,0.02,-0.02,0,0.67,0.03,-0.03,0,-0.2,0.05,-0.05,0,[Fe/H],4.53,0.08,-0.08,0,9.73,0.03,-0.03,7.207,0.023,-0.023,9.38476,0.000227,-0.000227
HD 23472 d,1,5,3.97664,0.00003,-0.000044,0,0.04298,0.00063,-0.00065,0,0.55,0.21,-0.2,0,0.00173049,0.00066073,-0.00062927,0,0.07,0.05,-0.047,0,K4 V,4684,99,-99,0,0.71,0.02,-0.02,0,0.67,0.03,-0.03,0,-0.2,0.05,-0.05,0,[Fe/H],4.53,0.08,-0.08,0,9.73,0.03,-0.03,7.207,0.023,-0.023,9.38476,0.000227,-0.000227
HD 23472 e,1,5,7.90754,0.00011,-0.00011,0,0.068,0.001,-0.001,0,0.72,0.28,-0.27,0,0.00226537,0.00088098,-0.00084952,0,0.07,0.052,-0.047,0,K4 V,4684,99,-99,0,0.71,0.02,-0.02,0,0.67,0.03,-0.03,0,-0.2,0.05,-0.05,0,[Fe/H],4.53,0.08,-0.08,0,9.73,0.03,-0.03,7.207,0.023,-0.023,9.38476,0.000227,-0.000227
HD 23472 f,1,5,12.1621839,0.00012,-0.000099,0,0.0906,0.0014,-0.0014,0,0.77,0.44,-0.4,0,0.00242269,0.00138439,-0.00125854,0,0.07,0.048,-0.051,0,K4 V,4684,99,-99,0,0.71,0.02,-0.02,0,0.67,0.03,-0.03,0,-0.2,0.05,-0.05,0,[Fe/H],4.53,0.08,-0.08,0,9.73,0.03,-0.03,7.207,0.023,-0.023,9.38476,0.000227,-0.000227
HD 235088 b,1,1,7.4341325,0.0000042,-0.0000044,0,0.0706,0.00054,-0.00055,0,4.15,0.83,-0.83,0,0.01305736,0.00261147,-0.00261147,0,0,,,0,K V,5075,75,-75,0,0.772,0.029,-0.029,0,0.849,0.009,-0.009,0,-0.02,0.03,-0.03,0,[Fe/H],4.55,0.05,-0.05,0,9.19,0.03,-0.03,7.084,0.016,-0.016,8.94271,0.000387,-0.000387
HD 238090 b,1,1,13.671,0.011,-0.01,0,0.0932,0.0011,-0.0011,0,6.89,0.92,-0.95,0,0.02167826,0.00289463,-0.00298902,0,0.3,0.16,-0.17,0,M0.0 V,3933,51,-51,0,0.57,0.016,-0.016,0,0.578,0.021,-0.021,0,-0.03,0.16,-0.16,0,[Fe/H],4.7,0.07,-0.07,0,9.71,0.1,-0.1,6.059,0.017,-0.017,9.037911,0.000482,-0.000482
HD 240237 b,1,1,745.7,13.8,-13.8,0,1.9,,,0,1684.4,,,0,5.3,,,0,0.4,0.1,-0.1,0,K2 III,4361,10,-10,0,32,1,-1,0,1.69,0.42,-0.42,0,-0.26,0.07,-0.07,0,[Fe/H],1.66,0.05,-0.05,0,8.19,0.03,-0.03,4.319,0.318,-0.318,7.49317,0.000357,-0.000357
HD 24064 b,1,1,535.6,3,-3,0,1.29,0.05,-0.05,0,2987.602,413.179,-413.179,0,9.4,1.3,-1.3,0,0.35,0.08,-0.08,0,K0,4052.5,22.5,-22.5,0,38,2.9,-2.9,0,1,0.1,-0.1,0,-0.49,0.06,-0.06,0,[Fe/H],1.44,0.11,-0.11,0,6.74616,0.023,-0.023,3.13,0.394,-0.394,6.17839,0.0007839,-0.0007839
HD 25015 b,1,1,6019.32,679.365,-262.98,0,6.19,0.45,-0.23,0,1423.8784,95.349,-88.9924,0,4.48,0.3,-0.28,0,0.39,0.09,-0.07,0,K1 V,5160,63,-63,0,0.83,0.04,-0.04,0,0.86,0.05,-0.05,0,0.04,0.04,-0.04,0,[Fe/H],4.4,0.14,-0.14,0,8.87,0.03,-0.03,6.806,0.026,-0.026,8.59876,0.000635,-0.000635
HD 25171 b,2,1,1845,167,-167,0,3.02,0.16,-0.16,0,301.926,31.7817,-31.7817,0,0.95,0.1,-0.1,0,0.08,0.06,-0.06,0,F8 V,6160,65,-65,0,1.18,0.04,-0.04,0,1.09,0.03,-0.03,0,-0.11,0.044,-0.044,0,[Fe/H],4.43,0.1,-0.1,0,7.77,0.03,-0.03,6.489,0.023,-0.023,7.638,0.000216,-0.000216
HD 25723 b,1,1,457.01,1.29,-1.31,0,1.49,0.04,-0.05,0,794.5710175,44.49597698,-54.03082919,0,2.5,0.14,-0.17,0,0.04,0.05,-0.03,0,K1 III,4766,49,-38,0,13.76,0.56,-0.56,0,2.12,0.41,-0.55,0,-0.03,0.1,-0.1,0,[Fe/H],2.5,0.1,-0.07,0,5.60075,0.023,-0.023,3.044,0.272,-0.272,5.31947,0.0018399,-0.0018399
HD 260655 b,1,2,2.76953,0.00003,-0.00003,0,0.02933,0.00024,-0.00024,0,2.14,0.34,-0.34,0,0.00673319,0.00106976,-0.00106976,0,0.039,0.043,-0.023,0,M0 V,3803,10,-10,0,0.439,0.003,-0.003,0,0.439,0.011,-0.011,0,-0.43,0.04,-0.04,0,[Fe/H],5.2,0.07,-0.07,0,9.63,0.1,-0.1,5.862,0.024,-0.024,8.876041,0.000554,-0.000554
HD 260655 c,1,2,5.70588,0.00007,-0.00007,0,0.04749,0.00039,-0.00039,0,3.09,0.48,-0.48,0,0.00972223,0.00151025,-0.00151025,0,0.038,0.036,-0.022,0,M0 V,3803,10,-10,0,0.439,0.003,-0.003,0,0.439,0.011,-0.011,0,-0.43,0.04,-0.04,0,[Fe/H],5.2,0.07,-0.07,0,9.63,0.1,-0.1,5.862,0.024,-0.024,8.876041,0.000554,-0.000554
HD 27631 b,1,1,2208,66,-66,0,3.25,0.07,-0.07,0,460.83,44.49,-44.49,0,1.45,0.14,-0.14,0,0.12,0.06,-0.06,0,G3 IV-V,5737,36,-36,0,1,,,0,0.94,0.04,-0.04,0,-0.12,0.05,-0.05,0,[Fe/H],4.48,0.09,-0.09,0,8.26,0.03,-0.03,6.646,0.021,-0.021,8.08478,0.000368,-0.000368
HD 27969 b,1,1,654.5,5.7,-5.8,0,1.552,0.032,-0.033,0,1525.576354,76.27881768,-73.10053361,0,4.8,0.24,-0.23,0,0.182,0.019,-0.019,0,G0 V,5966,21,-21,0,1.27,0.1,-0.1,0,1.16,0.07,-0.07,0,0.18,0.02,-0.02,0,[Fe/H],4.12,0.04,-0.04,0,7.66,0.03,-0.03,6.202,0.02,-0.02,7.5139,0.000241,-0.000241
HD 28109 b,1,3,22.89104,0.00035,-0.00036,0,0.1357,0.0034,-0.0034,0,18.496,9.12,-7.609,0,0.05819492,0.02869473,-0.02394059,0,0.3307,,,1,F8/G0 V,6120,50,-50,0,1.446,0.035,-0.035,0,1.26,0.08,-0.08,0,0,0.1,-0.1,0,[Fe/H],4.13,0.1,-0.1,0,9.42,0.03,-0.03,8.175,0.023,-0.023,9.29976,0.000323,-0.000323
HD 28109 c,1,3,56.00819,0.00194,-0.00202,0,0.308,0.011,-0.011,0,7.943,4.227,-3.046,0,0.02499147,0.01329963,-0.00958379,0,0.1203,,,1,F8/G0 V,6120,50,-50,0,1.446,0.035,-0.035,0,1.26,0.08,-0.08,0,0,0.1,-0.1,0,[Fe/H],4.13,0.1,-0.1,0,9.42,0.03,-0.03,8.175,0.023,-0.023,9.29976,0.000323,-0.000323
HD 28109 d,1,3,84.25999,0.00744,-0.00662,0,0.411,0.016,-0.016,0,5.681,2.738,-2.11,0,0.01787442,0.00861471,-0.0066388,0,0.0864,,,1,F8/G0 V,6120,50,-50,0,1.446,0.035,-0.035,0,1.26,0.08,-0.08,0,0,0.1,-0.1,0,[Fe/H],4.13,0.1,-0.1,0,9.42,0.03,-0.03,8.175,0.023,-0.023,9.29976,0.000323,-0.000323
HD 28254 b,2,1,1116,26,-26,0,2.15,0.04,-0.05,0,368.67,31.78,-19.07,0,1.16,0.1,-0.06,0,0.81,0.05,-0.02,0,G1 IV/V,5664,35,-35,0,1.48,0.06,-0.06,0,1.06,,,0,0.06,0.02,-0.02,0,[Fe/H],4.12,0.05,-0.05,0,7.69,0.03,-0.03,6.006,0.029,-0.029,7.49977,0.000295,-0.000295
HD 28471 b,1,3,3.1649,0.0002,-0.0003,0,0.042,0.001,-0.001,0,3.72,0.4,-0.43,0,0.01170443,0.00125854,-0.00135293,0,0.195,0.061,-0.073,0,G5 V,5766,101,-101,0,1.08,0.057,-0.057,0,0.98,0.044,-0.044,0,-0.04,0.03,-0.03,0,[Fe/H],4.38,0.06,-0.06,0,7.89,0.03,-0.03,6.315,0.027,-0.027,7.72751,0.000183,-0.000183
HD 28471 c,1,3,6.1245,0.0856,-0.0009,0,0.065,0.001,-0.001,0,5.72,0.57,-0.72,0,0.01799713,0.00179342,-0.00226537,0,0.088,0.058,-0.054,0,G5 V,5766,101,-101,0,1.08,0.057,-0.057,0,0.98,0.044,-0.044,0,-0.04,0.03,-0.03,0,[Fe/H],4.38,0.06,-0.06,0,7.89,0.03,-0.03,6.315,0.027,-0.027,7.72751,0.000183,-0.000183
HD 28471 d,1,3,11.681,0.0042,-0.0055,0,0.1,0.002,-0.002,0,4.91,0.82,-0.77,0,0.01544859,0.00258001,-0.00242269,0,0.093,0.064,-0.058,0,G5 V,5766,101,-101,0,1.08,0.057,-0.057,0,0.98,0.044,-0.044,0,-0.04,0.03,-0.03,0,[Fe/H],4.38,0.06,-0.06,0,7.89,0.03,-0.03,6.315,0.027,-0.027,7.72751,0.000183,-0.000183
HD 29021 b,1,1,1362.3,4.6,-4,0,2.28,0.07,-0.08,0,762.792,63.566,-63.566,0,2.4,0.2,-0.2,0,0.459,0.008,-0.008,0,G5,5560,45,-45,0,0.85,0.09,-0.09,0,0.85,0.08,-0.08,0,-0.24,0.02,-0.02,0,[Fe/H],4.44,0.03,-0.03,0,7.76,0.03,-0.03,6.082,0.02,-0.02,7.58565,0.000208,-0.000208
HD 290327 b,1,1,2443,205,-117,0,3.43,0.2,-0.12,0,807.25,54.03,-44.49,0,2.54,0.17,-0.14,0,0.08,0.08,-0.03,0,G8 V,5552,21,-21,0,1,0.01,-0.01,0,0.9,,,0,-0.11,0.02,-0.02,0,[Fe/H],4.42,0.04,-0.04,0,8.99,0.03,-0.03,7.271,0.027,-0.027,8.80364,0.000218,-0.000218
HD 29399 b,1,1,892.7,5.9,-5.9,0,1.913,0.008,-0.008,0,498.990599,34.96112477,-34.96112477,0,1.57,0.11,-0.11,0,0.05,0.05,-0.05,0,K1 III,4845,52,-52,0,4.5,0.11,-0.11,0,1.17,0.1,-0.1,0,0.14,0.03,-0.03,0,[Fe/H],3.25,0.13,-0.13,0,5.79,0.03,-0.03,3.777,0.238,-0.238,5.50503,0.001579,-0.001579
HD 2952 b,1,1,311.6,1.7,-1.9,0,1.2,,,0,508.5,,,0,1.6,,,0,0.129,0.099,-0.085,0,K0 III,4844,20,-20,0,12.02,1.16,-1.06,0,2.54,0.12,-0.09,0,0,0.04,-0.04,0,[Fe/H],2.67,0.07,-0.07,0,5.9258,0.023,-0.023,3.629,0.246,-0.246,5.64532,0.0008737,-0.0008737
HD 30562 b,1,1,1159.2,2.8,-2.8,0,2.315,0.004,-0.004,0,436.362,14.937,-14.937,0,1.373,0.047,-0.047,0,0.778,0.013,-0.013,0,F8 V,5994,46,-46,0,1.53,0.04,-0.04,0,1.23,0.03,-0.03,0,0.29,0.06,-0.06,0,[Fe/H],4.34,0.1,-0.1,0,5.77466,0.023,-0.023,4.31,0.049,-0.049,5.61828,0.0012342,-0.0012342
HD 30669 b,1,1,1684,61,-61,0,2.69,0.08,-0.08,0,149.37,19.07,-19.07,0,0.47,0.06,-0.06,0,0.18,0.15,-0.15,0,G9 V,5400,74,-74,0,0.91,0.04,-0.04,0,0.92,0.03,-0.03,0,0.13,0.06,-0.06,0,[Fe/H],4.37,0.55,-0.55,0,9.12,0.03,-0.03,7.329,0.029,-0.029,8.90667,0.000219,-0.000219
HD 3167 b,1,4,0.959641,0.000011,-0.000012,0,0.01815,0.00023,-0.00023,0,5.02,0.38,-0.38,0,0.01579461,0.00119561,-0.00119561,0,0,,,0,K0 V,5261,60,-60,0,0.86,0.04,-0.04,0,0.86,0.03,-0.03,0,0.04,0.05,-0.05,0,[Fe/H],4.47,0.05,-0.05,0,8.97,0.03,-0.03,7.066,0.02,-0.02,8.76221,0.000265,-0.000265
HD 3167 c,1,4,29.8454,0.0012,-0.0012,0,0.1795,0.0023,-0.0023,0,9.8,1.3,-1.24,0,0.03083409,0.00409024,-0.00390146,0,0.267,,,1,K0 V,5261,60,-60,0,0.86,0.04,-0.04,0,0.86,0.03,-0.03,0,0.04,0.05,-0.05,0,[Fe/H],4.47,0.05,-0.05,0,8.97,0.03,-0.03,7.066,0.02,-0.02,8.76221,0.000265,-0.000265
HD 3167 d,1,4,8.509,0.045,-0.045,0,0.07757,0.00027,-0.00027,0,6.9,0.71,-0.71,0,0.02170972,0.0022339,-0.0022339,0,0.36,,,1,K0 V,5261,60,-60,0,0.86,0.04,-0.04,0,0.86,0.03,-0.03,0,0.04,0.05,-0.05,0,[Fe/H],4.47,0.05,-0.05,0,8.97,0.03,-0.03,7.066,0.02,-0.02,8.76221,0.000265,-0.000265
