pl_name,sy_snum,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
8 UMi b,1,1,93.4,4.5,-4.5,0,0.49,0.03,-0.03,0,476.745,63.566,-63.566,0,1.5,0.2,-0.2,0,0.06,0.18,-0.18,0,K0,4847.4,7.5,-7.5,0,9.9,0.4,-0.4,0,1.8,0.1,-0.1,0,-0.03,0.02,-0.02,0,[Fe/H],2.57,0.03,-0.03,0,6.83295,0.023,-0.023,4.515,0.02,-0.02,6.55896,0.000237,-0.000237
81 Cet b,1,1,952.7,8.8,-8.8,0,2.5,,,0,1684.4,,,0,5.3,,,0,0.206,0.029,-0.029,0,G5 III,4785,25,-25,0,11,2,-1,0,2.4,0.1,-0.4,0,-0.06,0.03,-0.03,0,[Fe/H],2.35,0.08,-0.08,0,5.64307,0.023,-0.023,3.266,0.258,-0.258,5.37588,0.0031065,-0.0031065
91 Aqr b,3,1,181.4,0.1,-0.1,0,0.7,,,0,1017,,,0,3.2,,,0,0.027,0.026,-0.026,0,K0 III,4665,18,-18,0,11,0.1,-0.1,0,1.4,0.1,-0.1,0,-0.03,0.1,-0.1,0,[Fe/H],2.52,0.05,-0.05,0,4.23946,0.023,-0.023,1.597,0.236,-0.236,3.95311,0.008843,-0.008843
AF Lep b,1,1,8030,1800,-1800,0,8.4,1.1,-1.3,0,1017.050902,222.4798849,-190.6970442,0,3.2,0.7,-0.6,0,0.24,0.27,-0.15,0,F8 V,6130,60,-60,0,1.25,0.06,-0.06,0,1.2,0.06,-0.06,0,0.19,0.02,-0.02,0,[Fe/H],,,,,6.332,0.035,-0.035,4.926,0.021,-0.021,6.18644,0.0011395,-0.0011395
AU Mic b,1,4,8.463446,0.000005,-0.000005,0,0.07,0.006,-0.007,0,8.99,2.61,-2.67,0,0.0282857,0.00821198,-0.00840076,0,0.07,0.09,-0.04,0,M1 V,3540,120,-110,0,0.862,0.052,-0.052,0,0.635,0.04,-0.07,0,0.01,0.06,-0.06,0,[Fe/H],4.37,0.08,-0.1,0,8.81,0.1,-0.1,4.529,0.02,-0.02,7.84038,0.000731,-0.000731
AU Mic c,1,4,18.859023,0.000022,-0.000024,0,0.119,0.011,-0.011,0,14.46,3.24,-3.42,0,0.04549625,0.01019418,-0.01076052,0,0.18,0.08,-0.07,0,M1 V,3540,120,-110,0,0.862,0.052,-0.052,0,0.635,0.04,-0.07,0,0.01,0.06,-0.06,0,[Fe/H],4.37,0.08,-0.1,0,8.81,0.1,-0.1,4.529,0.02,-0.02,7.84038,0.000731,-0.000731
BD+05 4868 A b,2,1,1.271869,0.000001,-0.000001,0,0.0208,0.0003,-0.0003,0,6.2,,,1,0.01950738,,,1,,,,,K V,4596,65,-64,0,0.69,0.02,-0.02,0,0.7,0.02,-0.02,0,-0.05,0.08,-0.05,0,[Fe/H],4.6,0.03,-0.02,0,10.158,0.01,-0.01,7.448,0.026,-0.026,9.84152,0.000476,-0.000476
BD+14 4559 b,1,1,268.94,0.99,-0.99,0,0.777,,,0,467.19,,,0,1.47,,,0,0.29,0.03,-0.03,0,K2 V,5008,20,-20,0,0.95,0.2,-0.2,0,0.86,0.15,-0.15,0,0.1,0.07,-0.07,0,[Fe/H],4.6,0.05,-0.05,0,9.78,0.03,-0.03,7.336,0.023,-0.023,9.35108,0.000253,-0.000253
BD+15 2940 b,1,1,137.48,0.34,-0.34,0,0.539,,,0,352.78,,,0,1.11,,,0,0.26,0.1,-0.1,0,K0,4796,117,-117,0,14.7,2.8,-2.8,0,1.1,0.2,-0.2,0,0.28,0.07,-0.07,0,[Fe/H],2.8,0.45,-0.45,0,9.01,0.03,-0.03,6.525,0.016,-0.016,8.7178,0.000291,-0.000291
BD+20 2457 b,1,2,379.63,2.01,-2.01,0,1.45,,,0,6807.63,,,0,21.42,,,0,0.15,0.03,-0.03,0,K2 II,4137,10,-10,0,49,26,-26,0,2.8,1.5,-1.5,0,-1,0.07,-0.07,0,[Fe/H],1.51,0.05,-0.05,0,9.743,0.008,-0.008,6.42,0.021,-0.021,9.22684,0.000442,-0.000442
